"behavior","MouseID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","NetworkFilename"
"Freeze_001","007667",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"007667_B6J_F_vehicle_.avi"
"Freeze_001","007668",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"007668_B6J_F_vehicle_.avi"
"Freeze_001","007669",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007669_B6J_F_vehicle_.avi"
"Freeze_001","007670",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007670_B6J_F_vehicle_.avi"
"Freeze_001","007671",0,4.03333333333333,0,0,0,0,0,0,1.9,1.2,0,0,3.16666666666667,0,12.5666666666667,20.7666666666667,0,13.7666666666667,13.2666666666667,27.2333333333333,"007671_B6J_M_40mg-kg_.avi"
"Freeze_001","007672",8.8,3.76666666666667,21.4333333333333,0,3.1,14.4,0,46.2,9.13333333333333,0,10.5666666666667,0,0,0,0,0,0,3.16666666666667,0,0,"007672_B6J_M_40mg-kg_.avi"
"Freeze_001","007673",18,0,7.26666666666667,17.0333333333333,9.53333333333333,7.63333333333333,7.8,7.03333333333333,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"007673_B6J_M_40mg-kg_.avi"
"Freeze_001","007674",4.73333333333333,4.53333333333333,18.8,0,3.66666666666667,7.8,7.3,24.8666666666667,10.3666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007674_B6J_M_40mg-kg_.avi"
"Freeze_001","007675",0,0,5.43333333333333,0,10.6333333333333,4.3,0,17.6,8.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007675 B6J M 40mg-kg NV5_2022-03-22_11-01-39.avi"
"Freeze_001","007676",0,0,4.43333333333333,3.26666666666667,8.73333333333333,6.53333333333333,3.3,10.5,3.56666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007676 B6J M 40 mg-kgNV10 or NV11 video_recording_2022-03-22_11-03-40.avi"
"Freeze_001","007677",0,0,21.6333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007677_B6J_M_60mg-kg_.avi"
"Freeze_001","007679",0,0,21.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007679_B6J_M_60mg-kg_.avi"
"Freeze_001","007680",0,5.83333333333333,0,4,28.6666666666667,17.6666666666667,4.43333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007680_B6J_M_60mg-kg_.avi"
"Freeze_001","007681",0,0,0,7.3,0,22.3666666666667,12.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007681_B6J_M_60mg-kg_.avi"
"Freeze_001","007682",0,3.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007682_B6J_M_60mg-kg_.avi"
"Freeze_001","007683",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007683_B6J_M_80mg-kg_.avi"
"Freeze_001","007684",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007684 B6J_M_80mg-kg video_recording_NV10 or NV11 041222.avi"
"Freeze_001","007685",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007685_B6J_M_80mg-kg_.avi"
